class_label,filename,path,extension,sha256,file_size_kb,width,height,is_duplicate,duplicate_count
ai,ai_001.png,data\test_images\ai\ai_001.png,.png,6d1537c45ada4c45d1ff08cff42bd27a1be92a08a2d81c03fa90a945270af08b,2401.29,1448,1086,no,1
ai,ai_002.png,data\test_images\ai\ai_002.png,.png,1aefede9e8f9aef46ea67be7286a5cf2e74e4d00e6a47e86d17e9084f9586b6e,3127.81,1448,1086,no,1
ai,ai_003.png,data\test_images\ai\ai_003.png,.png,6c58260225d382b3092affe7f113115b7553c344ba154fa351e8b4a743ecc806,2653.39,1448,1086,no,1
ai,ai_004.png,data\test_images\ai\ai_004.png,.png,c251b063f1adce4052659b817f59308fc5509fa9d4616f7b855f264056d86110,1997.98,1448,1086,no,1
ai,ai_005.png,data\test_images\ai\ai_005.png,.png,3cfb6734130a0c61076c059f2f513860fa58ba37a04966d39a662cdc1e7bd3a2,2308.48,1122,1402,no,1
ai,ai_006.png,data\test_images\ai\ai_006.png,.png,c7a7d778b87c6d5fc6976d2591b97f9b85e8c5b6111c2e28c4b5689ffa9b2e78,2209.03,1448,1086,no,1
ai,ai_007.png,data\test_images\ai\ai_007.png,.png,73e5da8d0e562552a32f6c11fda5f29bbd034e4358871863184213a08ada8398,2614.24,1448,1086,no,1
ai,ai_008.png,data\test_images\ai\ai_008.png,.png,f66da836723c52c647f9fea8e0b993c2dc2ed8f58717469c1548467255a791b7,2313.91,1448,1086,no,1
ai,ai_009.png,data\test_images\ai\ai_009.png,.png,7bda18ca30cc430b660b9d3e301dba03be968a426363334214ad97aac1db03bf,3098.33,1448,1086,no,1
ai,ai_010.png,data\test_images\ai\ai_010.png,.png,3d41ed5c062f107fa86f376da6062819c36dbdb9420d264660349c35eabc9d4b,2127.56,1122,1402,no,1
ai,ai_011.png,data\test_images\ai\ai_011.png,.png,0149d353c4e490bdd145ca7c284619c9cf06ca72c9d9f28b58c06de55409343f,1934.17,1448,1086,no,1
ai,ai_012.png,data\test_images\ai\ai_012.png,.png,35f2581474ae32a6f734b72c6b20c6044c8e31b4334e2c9b06f2e488c6d6f5e8,2499.91,1448,1086,no,1
ai,ai_013.png,data\test_images\ai\ai_013.png,.png,42331d59b4c8d262bd1fa90818ca555f816897ef9a8fa5e5177b328d668f0a67,1888.75,1448,1086,no,1
ai,ai_014.png,data\test_images\ai\ai_014.png,.png,2dc5e1c9500c77c4c433098ec96a491232b6cc792cd771d9b9b80323f6d30bcc,2468.54,1448,1086,no,1
ai,ai_015.png,data\test_images\ai\ai_015.png,.png,2425ce7af0f850d3b09cb3e30571387facff3af2a4dfe05e7472308413cfbf10,2656.59,1448,1086,no,1
ai,ai_016.png,data\test_images\ai\ai_016.png,.png,b9e1b65290c2d963fc4926ab7cd2d90fc808ef892f51a9fd38bc2ff86b941d00,2353.36,1448,1086,no,1
ai,ai_017.png,data\test_images\ai\ai_017.png,.png,13bf6d33b7a76e700162654a2ffc0ddab0343fd960549ec4d90ce3d054b943a3,2282.02,1448,1086,no,1
ai,ai_018.png,data\test_images\ai\ai_018.png,.png,b9860293c013863065e2d6465ce83e23931aa068b9f233d967952400993abb58,3206.40,1448,1086,no,1
ai,ai_019.png,data\test_images\ai\ai_019.png,.png,c671111dc03b58bd5716c90534fa4a84661a9108a37584a602b7c8c6622a6343,2476.93,1448,1086,no,1
ai,ai_020.png,data\test_images\ai\ai_020.png,.png,0901a2bc3a990dfc414bd78f83d7cd3978dd42ae318a68822f63a6079ed802f6,2001.43,1448,1086,no,1
ai,ai_021.png,data\test_images\ai\ai_021.png,.png,7bca7ecd6bbb4560471e8c74c47ec94428949457578fc2175aaf595a0caab971,1884.42,1122,1402,no,1
ai,ai_022.png,data\test_images\ai\ai_022.png,.png,7283d32d3c6faafeae68940460c3f4e3f750ef7449e67900cd90d14b9852f437,2651.87,1448,1086,no,1
ai,ai_023.png,data\test_images\ai\ai_023.png,.png,4b6115f8a7d637d32dea4c6ac430b2ffc24349c8e54c7d9a00feb680cab24ce6,3038.50,1448,1086,no,1
ai,ai_024.png,data\test_images\ai\ai_024.png,.png,5e04bcc6d6e423ab633f73ec3e3f6ea4ab7cadbf4e9dcdc822391b906924b08e,2019.56,1122,1402,no,1
ai,ai_025.png,data\test_images\ai\ai_025.png,.png,9baeb7bee741b87b4f80a6d5d51bae816f634b36c5c101f26fff8f41fdd9501c,2069.64,1448,1086,no,1
